loja,mercado,idioma,moeda,mes,data_envio,campanha,papel,segmento_ampliado,modelo,estrutura,altura_px,desconto_pct,envios,aberturas,cliques,pedidos,receita,descadastros,spam,abertura_pct,clique_pct,clique_em_pedido_pct,receita_por_mil_envios,indice,descadastro_pct
Brinque Mais,Brasil,pt,BRL,mai,04/05,"Antecipação 5.5, 2, véspera",vespera,sim,,,,,24180,3616,17,1,198.79,41,5,15.0,0.07,5.9,8.2,0.15,0.17
Brinque Mais,Brasil,pt,BRL,mai,05/05 07h,"5.5, 1, e-mail premiado",pico 7h,sim,,,,,24155,3791,60,4,684.71,42,8,15.7,0.25,6.7,28.3,0.52,0.17
Brinque Mais,Brasil,pt,BRL,mai,05/05 11h,"5.5, 2, desbloqueado",pico 11h,sim,,,,,24119,3495,34,1,149.0,27,3,14.5,0.14,2.9,6.2,0.11,0.11
Brinque Mais,Brasil,pt,BRL,mai,05/05 18h,"5.5, 3, status mudou",pico 18h,sim,,,,,24096,4140,42,5,1380.58,45,1,17.2,0.17,11.9,57.3,1.06,0.19
Brinque Mais,Brasil,pt,BRL,mai,15/05,Você foi convocado,notificacao,sim,,,,,24228,3690,58,4,716.99,30,2,15.2,0.24,6.9,29.6,0.55,0.12
Brinque Mais,Brasil,pt,BRL,mai,21/05,Catálogo Dia dos Namorados 1,datacomemorativa,sim,,,,,24438,3742,65,6,1063.0,32,6,15.3,0.27,9.2,43.5,0.8,0.13
Brinque Mais,Brasil,pt,BRL,mai,28/05,Catálogo Dia dos Namorados 2,datacomemorativa,sim,,,,,24818,3755,60,8,1637.95,20,2,15.1,0.24,13.3,66.0,1.22,0.08
Brinque Mais,Brasil,pt,BRL,jun,01/06,"Antecipação 6.6, 1, convite",antecipacao,sim,,,,,24988,2635,33,2,308.0,20,1,10.5,0.13,6.1,12.3,0.23,0.08
Brinque Mais,Brasil,pt,BRL,jun,03/06,"Antecipação 6.6, 2, acesso confirmado",antecipacao,sim,,,,,25059,4923,70,3,496.58,46,2,19.6,0.28,4.3,19.8,0.37,0.18
Brinque Mais,Brasil,pt,BRL,jun,05/06,"Antecipação 6.6, 3, véspera",vespera,sim,,,,,25121,3777,33,3,456.58,20,5,15.0,0.13,9.1,18.2,0.33,0.08
Brinque Mais,Brasil,pt,BRL,jun,06/06 07h,"6.6, 1, Enc lista",pico 7h,sim,,,,,25148,3945,41,3,484.66,23,3,15.7,0.16,7.3,19.3,0.36,0.09
Brinque Mais,Brasil,pt,BRL,jun,06/06 11h,"6.6, 2, resgate pendente",pico 11h,sim,,,,,25139,3962,79,8,1601.27,21,5,15.8,0.31,10.1,63.7,1.17,0.08
Brinque Mais,Brasil,pt,BRL,jun,06/06 18h,"6.6, 3, acesso premiado",pico 18h,sim,,,,,25126,3907,65,4,648.66,25,3,15.5,0.26,6.2,25.8,0.48,0.1
Brinque Mais,Brasil,pt,BRL,jun,12/06,Dia dos Namorados,datacomemorativa,sim,,,,,25596,3788,52,2,537.79,24,3,14.8,0.2,3.8,21.0,0.39,0.09
Brinque Mais,Brasil,pt,BRL,jun,15/06,Semana Copa 1,tematica,sim,,,,,25744,3794,54,2,328.0,48,4,14.7,0.21,3.7,12.7,0.23,0.19
Brinque Mais,Brasil,pt,BRL,jun,17/06,Semana Copa 2,tematica,sim,,,,,25839,3747,88,2,507.0,33,5,14.5,0.34,2.3,19.6,0.36,0.13
Brinque Mais,Brasil,pt,BRL,jun,19/06,Álbum de figurinha,gamificada,sim,,,,,25922,3677,21,1,277.79,25,5,14.2,0.08,4.8,10.7,0.2,0.1
Brinque Mais,Brasil,pt,BRL,jun,26/06,Social proof,prova,sim,,,,,26303,3919,42,2,437.79,16,4,14.9,0.16,4.8,16.6,0.31,0.06
Brinque Mais,Brasil,pt,BRL,jul,01/07,"Antecipação 7.7, 1, convite",antecipacao,sim,,,,,26634,3992,38,4,755.37,30,5,15.0,0.14,10.5,28.4,0.52,0.11
Brinque Mais,Brasil,pt,BRL,jul,03/07,"Antecipação 7.7, 2, agenda",antecipacao,sim,,,,,26752,3993,105,3,2326.79,26,1,14.9,0.39,2.9,87.0,1.6,0.1
Brinque Mais,Brasil,pt,BRL,jul,06/07,"Antecipação 7.7, 3, acesso pendente",vespera,sim,,,,,26934,3998,115,0,0.0,44,1,14.8,0.43,0.0,0.0,0.0,0.16
Brinque Mais,Brasil,pt,BRL,jul,07/07 07h,"7.7, 1, cupom aprovado",pico 7h,sim,,,,,27002,3978,125,6,1019.95,35,1,14.7,0.46,4.8,37.8,0.7,0.13
Brinque Mais,Brasil,pt,BRL,jul,07/07 11h,"7.7, 2, vá até o final",pico 11h,sim,,,,,26999,3867,52,5,1302.58,42,2,14.3,0.19,9.6,48.2,0.89,0.16
